x,y,x-clean,y-clean
6412.095637583893,5062,6412.095637583893,5062.1558101473
711,2339.960065466448,710.651565995526,2339.960065466448
6974.630872483223,3612.6749590834697,6974.630872483223,3612.6749590834697
2371.0816554809835,2149.596726677578,2371.0816554809835,2149.596726677578
1417.2175615212545,-921,1417.2175615212545,-920.691980360065
-254,3180.2782324058935,-254.082774049216,3180.2782324058935
1188.9423937360189,3781.2824877250414,1188.9423937360189,3781.2824877250414
1604.7293064876972,1526.8366612111295,1604.7293064876972,1526.8366612111295
-86,2766.917839607203,-85.5939597315439,2766.917839607203
6105.011185682329,1611.1404255319158,6105.011185682329,1611.1404255319158
2805.8914988814313,2106.0851063829796,2805.8914988814313,2106.0851063829796
-762,4444.834697217678,-762.266778523489,4444.834697217678
8202.968680089487,3669.7839607201313,8202.968680089487,3669.7839607201313
1784.088366890382,689.2379705400976,1784.088366890382,689.2379705400976
6591.454697986579,2590.151882160394,6591.454697986579,2590.151882160394
5287.025167785237,2606.4687397708676,5287.025167785237,2606.4687397708676
3664.640939597315,2231.1810147299507,3664.640939597315,2231.1810147299507
5651.178411633111,4651.514893617021,5651.178411633111,4651.514893617021
2150.9591722595096,-564,2150.9591722595096,-564.440589198035
754.1325503355713,700.1158756137488,754.1325503355713,700.1158756137488
-923,4863.634042553193,-922.602908277404,4863.634042553193
1485.1565995525743,5499.991489361704,1485.1565995525743,5499.991489361704
1256.8814317673387,4210.959738134207,1256.8814317673387,4210.959738134207
7830.6627516778535,1619.298854337152,7830.6627516778535,1619.298854337152
6566.996644295305,3740.4903436988543,6566.996644295305,3740.4903436988543
7023.546979865773,2647.260883797054,7023.546979865773,2647.260883797054
8662,2921.9279869067113,8662.23657718121,2921.9279869067113
588.3612975391502,1105.3178396072012,588.3612975391502,1105.3178396072012
2387.387024608501,3471.262193126023,2387.387024608501,3471.262193126023
-482,6440.930278232408,-482.357941834451,6440.930278232408
1115.5682326621936,2500.4091653027835,1115.5682326621936,2500.4091653027835
7327.913870246088,3357.0441898527015,7327.913870246088,3357.0441898527015
