x,y,x-clean,y-clean,x-values-only,y-values-only
3733.568181818182,2211.1891891891896,3733.568181818182,2211.1891891891896,3734,2211
4175.295454545454,2323.4594594594596,4175.295454545454,2323.4594594594596,4175,2323
5500.477272727272,1874.3783783783783,5500.477272727272,1874.3783783783783,5500,1874
4617.022727272728,2323.4594594594596,4617.022727272728,2323.4594594594596,4617,2323
5942.204545454546,1762.1081081081084,5942.204545454546,1762.1081081081084,5942,1762
6383.931818181818,1649.837837837838,6383.931818181818,1649.837837837838,6384,1650
5058.75,2211.1891891891896,5058.75,2211.1891891891896,5059,2211
6825.659091,1649.837837837838,6825.65909090909,1649.837837837838,6826,1650
7267.386363636364,1649.837837837838,7267.386363636364,1649.837837837838,7267,1650
7709.113636363636,1649.837837837838,7709.113636363636,1649.837837837838,7709,1650
8150.840909,1762.1081081081084,8150.84090909091,1762.1081081081084,8151,1762
8592.568181818182,1986.6486486486488,8592.568181818182,1986.6486486486488,8593,1987
4948.318181818182,2660.27027,4948.318181818182,2660.27027027027,4948,2660
4506.590909,2772.540541,4506.59090909091,2772.54054054054,4507,2773
5390.045454545454,2660.27027,5390.045454545454,2660.27027027027,5390,2660
5831.772727272728,2660.27027,5831.772727272728,2660.27027027027,5832,2660
8703,2435.72973,8703,2435.72972972973,8703,2436
6273.5,2660.27027,6273.5,2660.27027027027,6274,2660
6715.227272727272,2660.27027,6715.227272727272,2660.27027027027,6715,2660
4064.863636363636,2884.810810810811,4064.863636363636,2884.810810810811,4065,2885
7156.954545454546,2772.540541,7156.954545454546,2772.54054054054,7157,2773
8703,2884.810810810811,8703,2884.810810810811,8703,2885
